,Schedule Name,Trip Start Time,Source,Destination
0,519-A1-AS-MDE,05:22:10,T.NAGAR   ,THIRUPPORU
1,519-A1-AS-MDE,08:30:00,T.NAGAR   ,THIRUPPORU
2,519-A1-AS-MDE,08:30:00,T.NAGAR   ,THIRUPPORU
3,519-A1-AS-MDE,12:41:00,T.NAGAR   ,THIRUPPORU
4,519-A1-AS-MDE,16:13:51,T.NAGAR   ,THIRUPPORU
5,519-B1-AS-MDE,05:04:00,T.NAGAR   ,THIRUPPORU
6,519-B1-AS-MDE,08:41:00,T.NAGAR   ,THIRUPPORU
7,519-B1-AS-MDE,12:54:20,T.NAGAR   ,THIRUPPORU
8,519-B1-AS-MDE,16:19:38,T.NAGAR   ,THIRUPPORU
9,519-C1-AS-MDE,05:46:00,T.NAGAR   ,THIRUPPORU
10,519-C1-AS-MDE,09:06:00,T.NAGAR   ,THIRUPPORU
11,519-C1-AS-MDE,13:12:00,T.NAGAR   ,THIRUPPORU
12,519-C1-AS-MDE,16:32:00,T.NAGAR   ,THIRUPPORU
13,519-C1-AS-MDE,20:33:56,T.NAGAR   ,THIRUPPORU
14,519-D1-AS-MDE,05:59:00,T.NAGAR   ,THIRUPPORU
15,519-D1-AS-MDE,09:17:00,T.NAGAR   ,THIRUPPORU
16,519-D1-AS-MDE,13:15:00,T.NAGAR   ,THIRUPPORU
17,519-D1-AS-MDE,16:44:00,T.NAGAR   ,THIRUPPORU
18,519-E1-AS-MDE,05:59:34,T.NAGAR   ,THIRUPPORU
19,519-E1-AS-MDE,08:56:00,T.NAGAR   ,THIRUPPORU
20,519-E1-AS-MDE,13:00:00,T.NAGAR   ,THIRUPPORU
21,519-E1-AS-MDE,16:32:00,T.NAGAR   ,THIRUPPORU
22,519-F1-AS-MDE,06:05:15,T.NAGAR   ,THIRUPPORU
23,519-F1-AS-MDE,09:32:00,T.NAGAR   ,THIRUPPORU
24,519-F1-AS-MDE,13:39:16,T.NAGAR   ,THIRUPPORU
25,519-F1-AS-MDE,16:38:00,T.NAGAR   ,THIRUPPORU
26,519-G1-AS-MDE,06:06:00,T.NAGAR   ,THIRUPPORU
27,519-G1-AS-MDE,10:40:00,T.NAGAR   ,THIRUPPORU
28,519-G1-AS-MDE,14:15:00,T.NAGAR   ,THIRUPPORU
29,519-H1-AS-MDE,06:03:00,T.NAGAR   ,THIRUPPORU
30,519-H1-AS-MDE,09:57:00,T.NAGAR   ,THIRUPPORU
31,519-H1-AS-MDE,13:40:00,T.NAGAR   ,THIRUPPORU
32,519-H1-AS-MDE,17:01:00,T.NAGAR   ,THIRUPPORU
33,519-I1-AS-MDE,06:31:00,T.NAGAR   ,THIRUPPORU
34,519-I1-AS-MDE,10:12:00,T.NAGAR   ,THIRUPPORU
35,519-I1-AS-MDE,13:53:00,T.NAGAR   ,THIRUPPORU
36,519-I1-AS-MDE,17:27:00,T.NAGAR   ,THIRUPPORU
37,519-J1-AS-MDE,01:07:08,T.NAGAR   ,THIRUPPORU
38,519-K1-AS-MDE,00:00:00,T.NAGAR   ,THIRUPPORU
39,519-K1-AS-MDE,00:21:00,T.NAGAR   ,THIRUPPORU
40,519-L1-AS-MDE,06:59:00,T.NAGAR   ,THIRUPPORU
41,519-L1-AS-MDE,11:04:00,T.NAGAR   ,THIRUPPORU
42,519-L1-AS-MDE,15:05:40,T.NAGAR   ,THIRUPPORU
43,519-L1-AS-MDE,18:50:00,T.NAGAR   ,THIRUPPORU
44,519-M1-AS-MDE,06:35:00,T.NAGAR   ,THIRUPPORU
45,519-M1-AS-MDE,10:50:55,T.NAGAR   ,THIRUPPORU
46,519-M1-AS-MDE,14:18:00,T.NAGAR   ,THIRUPPORU
47,519-M1-AS-MDE,18:06:58,T.NAGAR   ,THIRUPPORU
48,519-N1-AS-MDE,00:01:48,T.NAGAR   ,THIRUPPORU
49,519-N1-AS-MDE,00:18:00,T.NAGAR   ,THIRUPPORU
50,519-O1-AS-MDE,06:43:00,T.NAGAR   ,THIRUPPORU
51,519-O1-AS-MDE,10:50:48,T.NAGAR   ,THIRUPPORU
52,519-O1-AS-MDE,14:13:00,T.NAGAR   ,THIRUPPORU
53,519-O1-AS-MDE,18:10:35,T.NAGAR   ,THIRUPPORU
54,519-Q-AS-MDE,01:10:00,T.NAGAR   ,THIRUPPORU
55,519-Q-AS-MDE,14:59:00,T.NAGAR   ,THIRUPPORU
56,519-Q-AS-MDE,18:59:00,T.NAGAR   ,THIRUPPORU
57,519-R-AS-MDE,05:37:46,T.NAGAR   ,THIRUPPORU
58,519-R-AS-MDE,07:44:00,T.NAGAR   ,THIRUPPORU
59,519-R-AS-MDE,11:28:00,T.NAGAR   ,THIRUPPORU
60,519-R-AS-MDE,15:01:00,T.NAGAR   ,THIRUPPORU
61,519-R-AS-MDE,18:53:00,T.NAGAR   ,THIRUPPORU
62,519-S-AS-MDE,10:15:17,T.NAGAR   ,THIRUPPORU
63,519-S-AS-MDE,13:50:00,T.NAGAR   ,THIRUPPORU
64,519-S-AS-MDE,17:51:00,T.NAGAR   ,THIRUPPORU
65,519-S-AS-MDE,22:22:32,T.NAGAR   ,THIRUPPORU
66,519-T1-AS-MDE,06:44:00,T.NAGAR   ,THIRUPPORU
67,519-T1-AS-MDE,11:39:58,T.NAGAR   ,THIRUPPORU
68,519-T1-AS-MDE,19:01:47,T.NAGAR   ,THIRUPPORU
69,519-V1-AS-MDE,07:12:00,T.NAGAR   ,THIRUPPORU
70,519-V1-AS-MDE,11:22:00,T.NAGAR   ,THIRUPPORU
71,519-V1-AS-MDE,19:19:00,T.NAGAR   ,THIRUPPORU
72,519-W1-AS-MDE,10:21:36,T.NAGAR   ,THIRUPPORU
73,519-W1-AS-MDE,13:40:00,T.NAGAR   ,THIRUPPORU
74,519-W1-AS-MDE,17:35:00,T.NAGAR   ,THIRUPPORU
75,519-W1-AS-MDE,17:35:00,T.NAGAR   ,THIRUPPORU
76,519-W1-AS-MDE,21:27:02,T.NAGAR   ,THIRUPPORU
77,519-X1-AS-MDE,00:01:50,T.NAGAR   ,TIRUPPORUR
78,519-X1-AS-MDE,09:09:45,T.NAGAR   ,TIRUPPORUR
79,519-X1-AS-MDE,15:39:09,T.NAGAR   ,TIRUPPORUR
80,519-X1-AS-MDE,16:39:35,T.NAGAR   ,TIRUPPORUR
81,519-X1-AS-MDE,19:25:56,T.NAGAR   ,TIRUPPORUR
82,519-Z1-AS-MDE,08:05:00,T.NAGAR   ,TIRUPPORUR
83,519-Z1-AS-MDE,13:46:00,T.NAGAR   ,TIRUPPORUR
84,519-Z1-AS-MDE,17:22:00,T.NAGAR   ,TIRUPPORUR
